Minnesota, Palmer Z-Index
Missing: -99
Date,Value
190101,-0.02
190102,-0.07
190103,1.93
190104,-1.16
190105,-3.43
190106,2.69
190107,-0.36
190108,-2.53
190109,1.23
190110,0.18
190111,-0.98
190112,-0.51
190201,-0.87
190202,-0.02
190203,-0.26
190204,-0.71
190205,3.03
190206,-0.38
190207,1.67
190208,1.87
190209,-0.26
190210,0.60
190211,1.31
190212,2.73
190301,0.21
190302,0.50
190303,1.52
190304,1.05
190305,2.85
190306,-2.72
190307,2.65
190308,2.99
190309,4.94
190310,2.87
190311,-0.10
190312,1.11
190401,-0.16
190402,1.11
190403,1.41
190404,0.29
190405,-1.17
190406,0.66
190407,1.54
190408,-0.71
190409,1.49
190410,2.82
190411,-1.07
190412,0.72
190501,0.42
190502,0.13
190503,0.11
190504,-0.40
190505,4.31
190506,5.18
190507,2.64
190508,0.89
190509,1.26
190510,1.95
190511,4.08
190512,-0.63
190601,1.78
190602,-0.44
190603,-0.16
190604,-1.71
190605,3.78
190606,1.58
190607,-0.52
190608,1.88
190609,0.57
190610,1.19
190611,2.53
190612,1.25
190701,2.13
190702,0.18
190703,-0.25
190704,-0.15
190705,0.76
190706,0.34
190707,0.48
190708,1.53
190709,1.53
190710,-0.33
190711,-0.74
190712,-0.17
190801,-0.46
190802,2.05
190803,0.96
190804,-0.02
190805,5.31
190806,3.18
190807,-0.25
190808,-1.44
190809,-1.92
190810,-0.50
190811,-0.62
190812,-0.62
190901,0.78
190902,1.38
190903,-1.13
190904,0.77
190905,0.87
190906,-1.16
190907,1.48
190908,1.77
190909,0.53
190910,0.56
190911,3.05
190912,2.85
191001,0.77
191002,0.18
191003,-3.23
191004,-2.13
191005,-1.98
191006,-4.92
191007,-3.75
191008,-2.94
191009,-1.20
191010,-3.21
191011,-3.45
191012,-2.91
191101,-2.73
191102,-2.01
191103,-5.16
191104,-2.44
191105,-0.83
191106,-2.05
191107,-0.57
191108,1.11
191109,0.79
191110,2.49
191111,0.50
191112,1.62
191201,-0.12
191202,-0.44
191203,-1.44
191204,-0.49
191205,1.70
191206,-2.99
191207,1.24
191208,1.37
191209,0.95
191210,-1.34
191211,-1.97
191212,-0.33
191301,-1.27
191302,-0.95
191303,-0.48
191304,-0.98
191305,1.62
191306,-1.67
191307,3.92
191308,-0.69
191309,1.13
191310,2.25
191311,-0.20
191312,-0.86
191401,0.96
191402,0.08
191403,0.08
191404,0.68
191405,-0.58
191406,5.42
191407,-1.31
191408,1.00
191409,0.53
191410,-0.36
191411,-1.59
191412,-1.13
191501,-0.55
191502,1.76
191503,-1.19
191504,-2.77
191505,2.58
191506,5.60
191507,1.72
191508,-1.65
191509,0.26
191510,0.31
191511,1.43
191512,0.44
191601,3.86
191602,0.10
191603,1.30
191604,1.64
191605,2.15
191606,2.38
191607,-1.65
191608,0.89
191609,0.66
191610,-0.24
191611,-1.86
191612,0.22
191701,0.60
191702,0.84
191703,1.07
191704,0.97
191705,-1.95
191706,-1.10
191707,-0.87
191708,-1.97
191709,-1.11
191710,0.84
191711,-2.75
191712,-1.35
191801,-1.23
191802,-1.54
191803,-2.86
191804,-0.67
191805,2.13
191806,-3.13
191807,-0.40
191808,0.32
191809,-1.99
191810,0.34
191811,1.30
191812,1.71
191901,-0.12
191902,2.10
191903,-0.03
191904,0.48
191905,-1.25
191906,1.39
191907,2.32
191908,0.50
191909,-1.21
191910,1.11
191911,2.65
191912,-0.09
192001,1.26
192002,0.00
192003,1.36
192004,0.90
192005,0.15
192006,2.85
192007,0.20
192008,-2.24
192009,-0.54
192010,-1.18
192011,-0.89
192012,-0.38
192101,-1.09
192102,-0.63
192103,0.11
192104,-1.19
192105,0.44
192106,-3.00
192107,-0.60
192108,-2.32
192109,1.64
192110,-2.32
192111,-1.91
192112,-1.61
192201,-1.63
192202,1.95
192203,-0.17
192204,-0.28
192205,-1.04
192206,-2.01
192207,-1.69
192208,-3.53
192209,-2.53
192210,-2.67
192211,1.88
192212,-0.77
192301,0.06
192302,-0.26
192303,-0.94
192304,-0.17
192305,-2.11
192306,-0.08
192307,-1.13
192308,-1.71
192309,-1.46
192310,-2.20
192311,-3.24
192312,-2.17
192401,-2.81
192402,-2.65
192403,-3.77
192404,-0.41
192405,-0.46
192406,0.82
192407,-0.07
192408,2.74
192409,2.48
192410,-0.41
192411,-0.57
192412,0.75
192501,0.19
192502,0.52
192503,-1.04
192504,-1.21
192505,-2.12
192506,4.31
192507,-0.15
192508,-2.09
192509,1.52
192510,0.14
192511,-0.68
192512,-0.30
192601,0.37
192602,0.45
192603,-0.18
192604,-2.61
192605,-2.38
192606,-0.68
192607,-1.16
192608,-0.13
192609,4.34
192610,1.82
192611,2.12
192612,1.32
192701,0.30
192702,0.67
192703,0.71
192704,1.07
192705,2.17
192706,-0.37
192707,-0.31
192708,-1.56
192709,-0.71
192710,-0.90
192711,-0.77
192712,1.26
192801,-0.75
192802,0.07
192803,-0.30
192804,1.03
192805,-3.63
192806,0.74
192807,1.41
192808,4.22
192809,1.47
192810,1.80
192811,0.04
192812,0.48
192901,2.10
192902,0.27
192903,0.02
192904,-0.61
192905,-0.91
192906,-2.83
192907,-2.29
192908,-3.18
192909,1.48
192910,0.29
192911,-1.57
192912,-0.86
193001,-0.88
193002,0.94
193003,-1.30
193004,-2.41
193005,2.13
193006,-0.40
193007,-1.80
193008,-5.02
193009,0.26
