NAME,DATE,CDSD,DSND,DSNW,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,PRCP,SNOW,TAVG,TMAX,TMIN
"Cottonwood, MN US",1980,853,42,15,-18,7,5,3.89,100,7467,21.14,29.4,46.8,58.9,34.7
"Cottonwood, MN US",1981,,,12,,,8,3.1,,,29.18,28.1,,,
"Cottonwood, MN US",1982,,106,17,-30,19,8,1.8,99,,30.55,46.7,43.2,53.6,32.8
"Cottonwood, MN US",1983,926,140,34,-28,16,10,3.11,98,7647,33.81,72,44.3,54.3,34.2
"Cottonwood, MN US",1984,616,113,22,-26,18,10,1.65,96,8471,31.68,55.9,44.2,55.2,33.2
"Cottonwood, MN US",1985,438,,21,-29,,11,2.62,98,7585,33.42,58.8,41.9,52.8,31.1
"Cottonwood, MN US",1986,482,103,15,-21,8,4,2.2,94,8508,33.62,23.6,44.3,54.4,34.3
"Cottonwood, MN US",1987,,47,14,,12,11,1.76,100,,22.81,27.3,,59.7,
"Cottonwood, MN US",1988,996,117,,-36,22,,1.27,105,7827,19.52,,44.8,56.7,32.9
"Cottonwood, MN US",1989,742,98,23,-25,11,5,1.36,103,7951,17.49,38.3,43.6,55.1,32
"Cottonwood, MN US",1990,694,58,11,-22,5,4,3.1,102,7737,26.13,21.9,46.1,57,35.2
"Cottonwood, MN US",1991,740,112,16,-20,15,12,2.95,95,7750,38.67,54.4,44.7,54.5,34.9
"Cottonwood, MN US",1992,201,113,20,-16,9,8,2.55,88,8037,30.94,43.5,43.4,52.7,34.1
"Cottonwood, MN US",1993,374,134,23,-19,11,9,2.65,90,8945,41.71,53.9,41.2,50.4,32
"Cottonwood, MN US",1994,475,103,21,-26,16,7,5.24,92,8412,31.75,51.9,43.9,53.9,33.9
"Cottonwood, MN US",1995,663,85,17,-12,12,9,2.43,100,7609,33.95,31.9,43.9,53.7,34.2
"Cottonwood, MN US",1996,436,119,27,-31,17,8,3.05,94,8531,36.25,54.7,40.9,50.7,31.1
"Cottonwood, MN US",1997,705,,21,-16,,5,2.69,95,8584,28.39,40.2,44.4,54.3,34.6
"Cottonwood, MN US",1998,782,,18,-14,,3.5,1.75,96,7000,27.71,40,48.5,58.2,38.9
"Cottonwood, MN US",1999,747,63,16,-20,11,6.5,1.81,99,6865,22.55,43.3,47.9,58.4,37.3
"Cottonwood, MN US",2000,639,106,22,-15,9,6,,99,6711,,60.7,45.9,56.4,35.3
"Cottonwood, MN US",2001,758,109,12,-13,15,15,,95,8341,,45.9,46.8,56.5,37
"Cottonwood, MN US",2002,905,,9,-5,,6,2.5,98,6789,27.96,32.9,46.8,56.9,36.6
"Cottonwood, MN US",2003,665,,18,-14,,11.5,1.79,95,7674,23.82,52.3,45.9,56.5,35.3
"Cottonwood, MN US",2004,629,,11,-21,,5,3.68,96,6778,29.46,29.1,48,59.9,36.2
"Cottonwood, MN US",2005,873,,21,-13,,13,,95,5936,,44,48.7,58.9,38.5
"Cottonwood, MN US",2006,883,,11,-16,,4,1.89,99,6644,25.4,19.1,48.8,59.1,38.6
"Cottonwood, MN US",2007,970,,16,-18,,7.5,,99,7019,,51,47.6,58.5,36.7
"Cottonwood, MN US",2008,,,,-22,,,2.7,100,,30.53,,44.7,55.7,33.9
"Cottonwood, MN US",2009,609,,22,-22,,15.5,,96,7466,,71.8,45.3,56,34.6
"Cottonwood, MN US",2010,,,26,,,8,8.84,,,40.24,68,,,
"Cottonwood, MN US",2011,738,,,-21,,,2.22,99,,26.87,,44.2,54.9,33.6
"Cottonwood, MN US",2012,866,52,13,-15,7,5,2.9,98,6694,25.78,32.1,48,59.6,36.5
"Cottonwood, MN US",2013,613,114,14,-19,11,7.2,2.93,98,8689,30.2,53.3,41.8,51.7,31.9
"Cottonwood, MN US",2014,406,99,15,-23,21,9.7,2.52,88,9256,28,47.9,41.1,51.4,30.8
"Cottonwood, MN US",2015,502,64,11,-19,12,8.5,2.1,93,8226,36.99,39.3,45.4,55.4,35.4
"Cottonwood, MN US",2016,576,89,8,-27,14,8.5,4.68,93,7278,39.52,30.9,46.2,55.8,36.6
"Cottonwood, MN US",2017,468,68,6,-21,7,6.5,3.5,92,7356,34.54,26.1,45.2,55,35.3
"Cottonwood, MN US",2019,,,,,,,,,8262,,,,,
"Rock, MN US",1980,,59,12,,6,4,3.35,100,,21.3,20.7,,59.3,
"Rock, MN US",1981,630,60,9,-25,8,4,3.13,96,6532,29.04,20.8,48.1,60.7,35.6
"Rock, MN US",1983,,,,,,,,,7409,,,,,
"Rock, MN US",1984,655,92,21,-25,23,11,2.42,98,,35.27,68,45.5,56.6,34.4
"Rock, MN US",1985,469,,,-25,,,2.01,96,7244,31.6,,43.3,54.7,31.8
"Rock, MN US",1986,506,83,9,-20,19,5,2.82,92,8133,34.34,25.6,45.8,56.4,35.1
"Rock, MN US",1987,,,,,,,,,6556,,,,,
"Rock, MN US",1988,1016,,18,-33,,6,2.46,104,,18.24,48.7,45.9,58.4,33.3
"Rock, MN US",1989,656,,14,-26,,4,1.63,100,7364,19.92,29.8,44.5,56.4,32.6
"Rock, MN US",1990,724,,9,-28,,6,1.82,103,7418,21.7,27.2,47.1,59.4,34.9
"Rock, MN US",1991,870,,17,-17,,8,1.2,98,7238,21.03,48.5,46.9,58,35.8
"Rock, MN US",1992,276,,15,-14,,7,4.31,90,7206,34.79,40,45.8,56.1,35.4
"Rock, MN US",1993,420,,24,-21,,9,2.86,89,8088,39.83,60.9,42.8,52.7,33
"Rock, MN US",1994,503,,23,-28,,11,3.8,94,7724,27.56,60.9,44.9,55.8,34
"Rock, MN US",1995,555,,17,-15,,6,2,96,7565,28.69,39.2,43,52.8,33.2
"Rock, MN US",1997,,110,20,-20,32,10,2.67,,8358,19.35,47.7,,,34.3
"Rock, MN US",1998,709,,23,-18,,6,,94,,,52.4,49,59.5,38.4
"Rock, MN US",1999,730,68,15,-20,14,8,1.45,95,6281,25.04,37.4,48.5,60.3,36.8
"Rock, MN US",2000,,,,,,,,,5827,,,,,
"PIPESTONE, MN US",1980,591,,,-18,,,3.4,98,7509,18.83,,45.2,58.9,31.5
"PIPESTONE, MN US",1981,,,,,,,,,6770,,,,,
"PIPESTONE, MN US",1982,359,,,-33,,,2.3,99,,29.89,,41.4,53.1,29.6
"PIPESTONE, MN US",1983,708,,17,-44,,9,2.12,98,8218,28.39,61.3,41.9,53.2,30.5
"PIPESTONE, MN US",1984,360,,14,-32,,11,1.83,99,8885,33.77,51.8,41.3,53.9,28.7
"PIPESTONE, MN US",1985,344,,12,-28,,5,2.01,99,7879,27.63,34.8,40.7,53.6,27.9
"PIPESTONE, MN US",1986,418,,7,-28,,5,2.89,94,8764,35.11,19.5,43.1,55.3,30.8
"PIPESTONE, MN US",1987,,,4,,,11,1.59,99,7650,24.91,20.9,,60.8,
"PIPESTONE, MN US",1988,908,,,-36,,,,106,,,,43.9,58,29.8
"PIPESTONE, MN US",1989,,,12,,,5,4.65,105,7842,21.6,33.3,,55.3,
"PIPESTONE, MN US",1990,,,6,,,6,2.39,103,,24.49,19.8,,56.9,
"PIPESTONE, MN US",1991,661,,10,-17,,6,1.4,100,7883,20.56,24.3,44.5,55.8,33.1
"PIPESTONE, MN US",1992,216,,12,-16,,6,2,91,7922,28.9,28.5,43.6,53.7,33.4
"PIPESTONE, MN US",1993,343,,15,-25,,9,3.53,92,8900,38.62,38.4,40.5,50.5,30.6
"PIPESTONE, MN US",1994,479,,18,-34,,11,3.46,95,8745,25.09,55.9,43,53.4,32.5
"PIPESTONE, MN US",1995,661,,,-22,,,1.83,101,8059,34.5,,42.9,52.6,33.2
"PIPESTONE, MN US",1996,456,,16,-33,,10,1.7,93,8696,25.41,49.8,40.1,50.6,29.7
"PIPESTONE, MN US",1997,585,,,-24,,,1.86,98,9069,17.96,,42.5,53.1,31.8
"PIPESTONE, MN US",1998,601,,12,-20,,8,2.01,94,7642,28.3,39.4,46.9,57.2,36.6
"PIPESTONE, MN US",1999,,,10,,,8,2.24,97,6886,25.06,26.5,,57.9,
"PIPESTONE, MN US",2000,618,,10,-22,,8,2.4,99,,25.69,30.5,44.3,55.8,32.9
"PIPESTONE, MN US",2001,711,,10,-24,,15,3.2,96,8455,30.21,50,44.8,55.5,34.1
