PRCP,TMAX,TMIN
0,43,21
0,44,33
0,40,30
0,,28
0,39,13
0,14,3
0,14,-2
0,20,7
0,36,10
0,42,20
0,41,9
0.15,10,-6
0,22,-10
0,25,18
0,25,17
0,35,15
0,32,-6
0,34,-1
0,43,13
0,35,21
0,42,26
0,31,22
0,28,18
0,27,11
0,35,15
0,45,24
0.04,41,29
0,38,28
0.05,38,29
0,46,28
0,40,19
0,20,-2
0,31,4
0,33,19
0,21,2
0,26,8
0,33,14
0,31,14
0,32,3
0,4,-9
0,7,-11
0,18,1
0,10,-2
0.02,1,-8
0,8,-14
0,6,-3
0,7,-14
0,18,4
0,29,3
0,34,11
0,35,11
0,35,10
0,10,-5
0,19,-6
0.06,19,-5
0,3,-10
0,7,-14
0,19,-8
0.02,20,7
0,18,-16
0,25,-8
0,31,4
0,24,6
0.21,13,0
0,14,-7
0,22,6
0,31,12
0,39,8
0,33,10
0,35,14
0,41,14
0,38,21
0,42,20
0,40,27
0,41,27
0,33,8
0,37,28
0,31,16
0,41,7
0,37,10
0,18,1
0.01,30,12
0.53,31,3
0,5,-9
0,17,-4
0,36,11
0,54,22
0,33,11
0,39,14
0,43,29
0,37,24
0,30,2
0,31,9
0,36,19
0,31,16
0,24,9
0,30,11
0,31,17
0,33,10
0,56,26
0,50,31
0,46,25
0,40,26
0.6,34,15
0.23,28,12
0,32,11
0,31,15
0.65,32,25
0,36,19
0,41,14
0,48,27
0,45,28
0,47,27
0,44,31
0,39,26
0,41,25
0,48,26
0.05,45,28
0,45,25
0,46,24
0,53,36
0,51,33
0,45,25
0,45,26
0.56,40,24
0.43,33,24
0,42,20
0,36,20
0,44,23
0.03,43,21
0.09,46,30
0,35,17
0,35,14
0,44,21
0,50,21
0,55,34
0,67,41
0,58,33
0,71,33
0.41,74,57
0.21,74,49
0,73,34
0,76,40
0,74,52
0.1,67,49
0,78,41
0,72,43
0,68,34
0,73,41
0,78,42
0,80,45
0,78,52
0,71,50
0,58,44
0,59,27
0,68,34
0,76,39
0,84,51
0,83,59
0,62,39
0,67,43
0,71,34
0.39,69,41
0.15,58,51
0.57,58,46
0.01,53,38
0.02,58,36
0.54,49,41
0.01,46,40
0.03,47,41
0.29,50,42
0.81,67,48
0,61,44
0,62,41
0.01,65,42
0.09,71,55
0,61,45
0,70,36
0,81,52
0.4,79,51
0,75,51
0,80,51
0,71,46
0,75,44
0,78,51
0,83,51
0,82,58
0.3,83,57
0.56,67,54
0.01,66,49
0,76,55
0.56,81,59
0.33,70,54
0,70,48
,81,53
0.15,72,61
0.16,71,50
0.82,76,55
2.11,75,63
0,74,50
0,81,51
0,84,61
0.15,84,67
0.64,73,57
0.02,67,50
0,73,48
0.38,77,54
0,74,47
0,71,54
0.03,77,51
0,82,53
0,85,58
0,84,63
0.06,89,63
0.76,86,63
0.11,83,62
0,82,55
0,90,59
0,93,69
0,88,65
0,86,56
0,90,66
0,92,62
0,93,72
0,88,66
0,85,63
0,86,64
0,89,64
0,94,68
0,98,72
0.36,95,68
4.3,85,67
2.95,73,64
0,83,66
0,82,63
0,80,61
0,81,64
0,79,61
0,86,64
0,82,70
0,88,66
0,90,64
0,85,67
0,91,64
0,91,71
0,80,60
0,71,52
0,75,45
0,81,57
0,88,63
0.22,86,66
0.07,77,65
0,82,54
0,83,56
0,87,61
0.37,83,67
0,85,58
0,83,61
0,77,57
0,75,55
0.2,75,55
0,75,54
0.77,73,57
0,77,57
0.02,79,57
0.55,73,60
0,71,48
0,80,54
0,78,53
0.34,60,51
0.05,60,52
0.02,68,55
0,83,62
0,87,66
0.25,83,65
0.54,75,
0,67,56
0,68,48
0.15,68,45
0.15,68,44
0,70,48
0,73,47
0.2,69,48
0,67,48
0,74,48
0,67,51
0,63,38
0,60,47
0,60,44
0,60,37
0,77,51
0,80,57
0.73,73,40
0,50,35
0.02,65,43
0.06,63,41
0.05,61,37
0,72,46
0,72,41
0,64,40
0,59,40
0,68,44
0,74,51
0,78,52
0,75,45
0,73,47
0,71,44
0,69,45
0,69,44
0.48,62,50
0.09,62,51
0.27,60,45
0,46,40
0,44,38
0,48,40
0,53,44
0,67,48
0,59,47
0.52,61,53
0.01,59,50
0,56,33
0,53,32
0,52,29
0,49,34
0.07,50,44
0.2,52,48
